ts,camera_status,mmwave_status,system_state,count_confidence,delivered_fps,detector_fps,target_capture_fps,target_detector_fps,drop_ratio_30s,publish_backlog_ms,cpu_percent,ram_mb,temperature_c,camera_read_ms,capture_to_service_ms,detector_preprocess_ms,detector_inference_ms,detector_postprocess_ms,detector_total_ms,filter_ms,tracking_ms,crossing_ms,event_enqueue_ms,process_camera_total_ms,sse_publish_ms
2026-03-29T03:26:23.714079Z,OK,OK,NORMAL,HIGH,11.0,7.0,10.0,10.0,0.05,0,49.0,1375.578125,83.7,99.74,1.75,2.41,59.39,1.8,63.61,0.02,0.02,0.0,0.0,64.42,0.03
2026-03-29T03:26:24.721357Z,OK,OK,NORMAL,HIGH,11.0,8.0,10.0,10.0,0.05,0,62.9,1383.234375,82.6,98.73,8.98,2.49,59.46,1.77,63.73,0.02,0.02,0.0,0.0,64.56,0.03
2026-03-29T03:26:25.728872Z,OK,OK,NORMAL,HIGH,11.0,8.0,10.0,10.0,0.04983388704318937,0,51.1,1386.6875,81.5,99.85,1.16,2.41,60.15,1.72,64.29,0.02,0.02,0.0,0.0,65.11,0.03
2026-03-29T03:26:26.732660Z,OK,OK,NORMAL,HIGH,10.0,8.0,10.0,10.0,0.04983388704318937,0,57.8,1382.640625,83.7,99.84,19.43,2.49,59.89,1.83,64.21,0.02,0.02,0.0,0.0,65.06,0.03
2026-03-29T03:26:27.733063Z,OK,OK,NORMAL,HIGH,11.0,8.0,10.0,10.0,0.04983388704318937,0,54.5,1377.609375,82.05,100.17,19.47,2.58,60.0,1.84,64.43,0.02,0.02,0.0,0.0,65.15,0.03
2026-03-29T03:26:28.749390Z,OK,OK,NORMAL,HIGH,10.0,8.0,10.0,10.0,0.05,0,53.3,1374.546875,82.05,100.06,16.46,2.49,59.49,1.77,63.76,0.02,0.02,0.0,0.0,64.46,0.03
2026-03-29T03:26:29.751253Z,OK,OK,NORMAL,HIGH,10.0,8.0,10.0,10.0,0.05,0,54.1,1369.125,82.05,99.79,18.34,2.6,59.51,1.67,63.79,0.02,0.02,0.0,0.0,64.66,0.03
2026-03-29T03:26:30.770795Z,OK,OK,NORMAL,HIGH,11.0,8.0,10.0,10.0,0.05,0,52.8,1365.0,81.5,100.05,17.43,2.58,59.82,1.75,64.16,0.02,0.02,0.0,0.0,64.85,0.03
2026-03-29T03:26:31.789104Z,OK,OK,NORMAL,HIGH,10.0,8.0,10.0,10.0,0.05,0,52.5,1362.328125,82.6,99.79,16.66,2.49,58.83,1.76,63.09,0.02,0.02,0.0,0.0,63.95,0.03
2026-03-29T03:26:32.829567Z,OK,OK,NORMAL,HIGH,10.0,9.0,10.0,10.0,0.05,0,57.8,1357.5,82.6,100.02,18.04,2.48,58.23,1.74,62.46,0.02,0.02,0.0,0.0,63.14,0.03
